ORDERNUMBER,QUANTITYORDERED,PRICEEACH,ORDERLINENUMBER,SALES,ORDERDATE,STATUS,QTR_ID,MONTH_ID,YEAR_ID,PRODUCTLINE,MSRP,PRODUCTCODE,CUSTOMERNAME,PHONE,ADDRESSLINE1,CITY,POSTALCODE,COUNTRY,TERRITORY,CONTACTLASTNAME,CONTACTFIRSTNAME,DEALSIZE,TOTAL_ORDER_SALES,AVG_PRICE_ORDER,SALES_RATIO
10107,30,95.7,2,2871.0,2/24/2003 0:00,Shipped,1,2,2003,Motorcycles,95,S10_1678,Land of Toys Inc.,2125557818,897 Long Airport Avenue,NYC,10022,USA,EMEA,Yu,Kwai,Small,25783.76,92.80125,0.11134915931578637
10121,34,81.35,5,2765.9,5/7/2003 0:00,Shipped,2,5,2003,Motorcycles,95,S10_1678,Reims Collectables,26.47.1555,59 rue de l'Abbaye,Reims,51100,France,EMEA,Henriot,Paul,Small,18971.96,83.964,0.14578883784279537
10134,41,94.74,2,3884.34,7/1/2003 0:00,Shipped,3,7,2003,Motorcycles,95,S10_1678,Lyon Souveniers,+33 1 46 62 7555,27 rue du Colonel Pierre Avia,Paris,75508,France,EMEA,Da Cunha,Daniel,Medium,25624.88,90.44142857142857,0.15158470986010472
10145,45,83.26,6,3746.7,8/25/2003 0:00,Shipped,3,8,2003,Motorcycles,95,S10_1678,Toys4GrownUps.com,6265557265,78934 Hillside Dr.,Pasadena,90003,USA,EMEA,Young,Julie,Medium,55776.119999999995,83.8375,0.0671739088341032
10159,49,100.0,14,5205.27,10/10/2003 0:00,Shipped,4,10,2003,Motorcycles,95,S10_1678,Corporate Gift Ideas Co.,6505551386,7734 Strong St.,San Francisco,28034,USA,EMEA,Brown,Julie,Medium,62498.29,83.05611111111111,0.08328659872134102
10168,36,96.66,1,3479.76,10/28/2003 0:00,Shipped,4,10,2003,Motorcycles,95,S10_1678,Technics Stores Inc.,6505556809,9408 Furth Circle,Burlingame,94217,USA,EMEA,Hirano,Juri,Medium,62305.47,86.58777777777777,0.055849991983047395
10180,29,86.13,9,2497.77,11/11/2003 0:00,Shipped,4,11,2003,Motorcycles,95,S10_1678,Daedalus Designs Imports,20.16.1555,"184, chausse de Tournai",Lille,59000,France,EMEA,Rance,Martine,Small,48874.28,82.245,0.05110602140839722
10188,48,100.0,1,5512.32,11/18/2003 0:00,Shipped,4,11,2003,Motorcycles,95,S10_1678,Herkku Gifts,+47 2267 3215,"Drammen 121, PR 744 Sentrum",Bergen,N 5804,Norway,EMEA,Oeztan,Veysel,Medium,34481.340000000004,94.00625,0.1598638567990687
10201,22,98.57,2,2168.54,12/1/2003 0:00,Shipped,4,12,2003,Motorcycles,95,S10_1678,Mini Wheels Co.,6505555787,5557 North Pendale Street,San Francisco,28034,USA,EMEA,Murphy,Julie,Small,25431.88,91.03714285714285,0.0852685684267148
10211,41,100.0,14,4708.44,1/15/2004 0:00,Shipped,1,1,2004,Motorcycles,95,S10_1678,Auto Canal Petit,(1) 47.55.6555,"25, rue Lauriston",Paris,75016,France,EMEA,Perrier,Dominique,Medium,51172.65,82.83133333333333,0.09201086908729564
10223,37,100.0,1,3965.66,2/20/2004 0:00,Shipped,1,2,2004,Motorcycles,95,S10_1678,"Australian Collectors, Co.",03 9520 4555,636 St Kilda Road,Melbourne,3004,Australia,APAC,Ferguson,Peter,Medium,49637.57,85.01933333333334,0.07989230737926938
10237,23,100.0,7,2333.12,4/5/2004 0:00,Shipped,2,4,2004,Motorcycles,95,S10_1678,Vitachrome Inc.,2125551500,2678 Kingston Rd.,NYC,10022,USA,EMEA,Frick,Michael,Small,24804.34,82.27111111111111,0.09406095868706847
10251,28,100.0,2,3188.64,5/18/2004 0:00,Shipped,2,5,2004,Motorcycles,95,S10_1678,Tekni Collectables Inc.,2015559350,7476 Moss Rd.,Newark,94019,USA,EMEA,Brown,William,Medium,27987.07,93.53000000000002,0.11393261245282196
10263,34,100.0,2,3676.76,6/28/2004 0:00,Shipped,2,6,2004,Motorcycles,95,S10_1678,Gift Depot Inc.,2035552570,25593 South Bay Ln.,Bridgewater,97562,USA,EMEA,King,Julie,Medium,44130.520000000004,87.51272727272728,0.08331558295710088
10275,45,92.83,1,4177.35,7/23/2004 0:00,Shipped,3,7,2004,Motorcycles,95,S10_1678,La Rochelle Gifts,40.67.8555,"67, rue des Cinquante Otages",Nantes,44000,France,EMEA,Labrune,Janine,Medium,56002.9,82.95166666666667,0.07459167293122321
10285,36,100.0,6,4099.68,8/27/2004 0:00,Shipped,3,8,2004,Motorcycles,95,S10_1678,Marta's Replicas Co.,6175558555,39323 Spinnaker Dr.,Cambridge,51247,USA,EMEA,Hernandez,Marta,Medium,48828.72,84.42615384615384,0.08396042329186594
10299,23,100.0,9,2597.39,9/30/2004 0:00,Shipped,3,9,2004,Motorcycles,95,S10_1678,"Toys of Finland, Co.",90-224 8555,Keskuskatu 45,Helsinki,21240,Finland,EMEA,Karttunen,Matti,Small,42744.06,84.18818181818182,0.06076610410896859
10309,41,100.0,5,4394.38,10/15/2004 0:00,Shipped,4,10,2004,Motorcycles,95,S10_1678,Baane Mini Imports,07-98 9555,Erling Skakkes gate 78,Stavern,4110,Norway,EMEA,Bergulfsen,Jonas,Medium,19769.68,88.24666666666667,0.22227876222579224
10318,46,94.74,1,4358.04,11/2/2004 0:00,Shipped,4,11,2004,Motorcycles,95,S10_1678,Diecast Classics Inc.,2155551555,7586 Pompton St.,Allentown,70267,USA,EMEA,Yu,Kyung,Medium,44040.729999999996,92.69666666666666,0.09895476301142148
10329,42,100.0,1,4396.14,11/15/2004 0:00,Shipped,4,11,2004,Motorcycles,95,S10_1678,Land of Toys Inc.,2125557818,897 Long Airport Avenue,NYC,10022,USA,EMEA,Yu,Kwai,Medium,53152.28,87.41266666666667,0.08270839933865491
10341,41,100.0,9,7737.93,11/24/2004 0:00,Shipped,4,11,2004,Motorcycles,95,S10_1678,Salzburg Collectables,6562-9555,Geislweg 14,Salzburg,5020,Austria,EMEA,Pipps,Georg,Large,45001.11,91.536,0.17194975857262187
10361,20,72.55,13,1451.0,12/17/2004 0:00,Shipped,4,12,2004,Motorcycles,95,S10_1678,Souveniers And Things Co.,+61 2 9495 8555,"Monitor Money Building, 815 Pacific Hwy",Chatswood,2067,Australia,APAC,Huxley,Adrian,Small,37905.15,79.61642857142859,0.03827975881905229
10375,21,34.91,12,733.11,2/3/2005 0:00,Shipped,1,2,2005,Motorcycles,95,S10_1678,La Rochelle Gifts,40.67.8555,"67, rue des Cinquante Otages",Nantes,44000,France,EMEA,Labrune,Janine,Small,59617.4,85.766,0.012296913317253017
10388,42,76.36,4,3207.12,3/3/2005 0:00,Shipped,1,3,2005,Motorcycles,95,S10_1678,FunGiftIdeas.com,5085552555,1785 First Street,New Bedford,50553,USA,EMEA,Benitez,Violeta,Medium,37557.66,88.455,0.0853919014123883
10403,24,100.0,7,2434.56,4/8/2005 0:00,Shipped,2,4,2005,Motorcycles,95,S10_1678,"UK Collectables, Ltd.",(171) 555-2282,Berkeley Gardens 12  Brewery,Liverpool,WX1 6LT,UK,EMEA,Devon,Elizabeth,Small,40802.81,82.27111111111111,0.0596664788528045
10417,66,100.0,2,7516.08,5/13/2005 0:00,Disputed,2,5,2005,Motorcycles,95,S10_1678,Euro Shopping Channel,(91) 555 94 44,"C/ Moralzarzal, 86",Madrid,28034,Spain,EMEA,Freyre,Diego,Large,31821.9,93.53000000000002,0.23619205641397903
10103,26,100.0,11,5404.62,1/29/2003 0:00,Shipped,1,1,2003,Classic Cars,214,S10_1949,Baane Mini Imports,07-98 9555,Erling Skakkes gate 78,Stavern,4110,Norway,EMEA,Bergulfsen,Jonas,Medium,54702.0,88.59625,0.09880114072611605
